"isin_cd","tck_iem_cd","fc_sec_krl_nm","fc_sec_eng_nm"
US00211V1061,AACG        ,ATA                                                         ,ATA CreatGlo                                                
US00032Q1040,AADI        ,Aadi Bioscience                                             ,Aadi Bioscience                                             
US02376R1023,AAL         ,아메리칸 에어라인스 그룹                                               ,American Airline                                            
US03823U1025,AAOI        ,어플라이드 옵토일렉트로닉스                                              ,AOI                                                         
US0003602069,AAON        ,에이에이온                                                       ,AAON                                                        
US0378331005,AAPL        ,애플                                                          ,Apple                                                       
US03076K1088,ABCB        ,아메리스 뱅코프                                                    ,Ameris                                                      
CA00288U1066,ABCL        ,Abcellera                                                   ,Abcellera                                                   
US0003802040,ABCM        ,Abcam                                                       ,Abcam                                                       
US00289Y2063,ABEO        ,아베오나 세러퓨틱스                                                  ,Abeona                                                      
US00211Y5069,ABIO        ,ARCA                                                        ,ARCA                                                        
US0090661010,ABNB        ,Airbnb                                                      ,Airbnb                                                      
US00509G2093,ABOS        ,Acumen                                                      ,Acumen                                                      
US00091E1091,ABSI        ,Absci                                                       ,Absci                                                       
CA03879J1003,ABUS        ,아버터스 바이오파마                                                  ,Arbutus Biopharm                                            
US00091F3047,ABVC        ,ABVC Biopharma                                              ,ABVC Biopharma                                              
US0042251084,ACAD        ,아카디아 파마수티컬스                                                 ,ACADIA Pharm                                                
CA05156X8843,ACB         ,Aurora Cannabis                                             ,Aurora Cannabis                                             
US00437E1029,ACCD        ,Accolade                                                    ,Accolade                                                    
US74319N1000,ACDC        ,Profrac Holding                                             ,Profrac Holding                                             
US00444P1084,ACER        ,에이서 세러퓨틱스                                                   ,Acer Therape                                                
US0070021086,ACET        ,resTORbio                                                   ,Adicet Bio                                                  
BMG0450A1053,ACGL        ,아치 캐피털 그룹                                                   ,Arch Capital Grp                                            
US03939A4040,ACGLN       ,Arch Capital Grp                                            ,Arch Capital Grp                                            
US03939A1079,ACGLO       ,아치 캐피털 그룹(ACGL 5.45 PERP)                                   ,Arch Capital Grp                                            
US00404A1097,ACHC        ,아카디아 헬스케어                                                   ,Acadia Health                                               
US00449L1026,ACHL        ,Achilles                                                    ,Achilles                                                    
US0044685008,ACHV        ,Achieve                                                     ,Achieve                                                     
CH0329023102,ACIU        ,AC Immune SA                                                ,AC Immune                                                   
US0044981019,ACIW        ,ACI 월드와이드                                                   ,ACI World                                                   
US0545402085,ACLS        ,액셀리스 테크놀로지스                                                 ,Axcelis Tech                                                
US03940C1009,ACLX        ,Arcellx                                                     ,Arcellx                                                     
US00108J1097,ACMR        ,"ACM Research, Inc.                                          ",ACM Rsrch                                                   
US0008681092,ACNB        ,ACNB                                                        ,ACNB                                                        
US6551871022,ACON        ,Aclarion                                                    ,Aclarion                                                    
US00484M7002,ACOR        ,Acorda                                                      ,Acorda                                                      
US00461U1051,ACRS        ,애클래리스 세러퓨틱스                                                 ,Aclaris                                                     
US0048901096,ACRV        ,Acrivon Therapeu                                            ,Acrivon Therapeu                                            
US00444T2096,ACRX        ,Acelrx Pharma                                               ,Acelrx Pharma                                               
CA00430K8656,ACST        ,Acasti Pharma                                               ,Acasti Pharma                                               
US29249E1091,ACT         ,Enact Holdings                                              ,Enact Holdings                                              
